W0413 09:38:14.257000 14692 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  12.9390 | norm:   5.3237 | time:    24.46 | tok/s: 938.500756 | lr: 0.000100
step:     1980 | loss:   3.2689 | norm:   1.8351 | time:  7386.33 | tok/s: 17853.979662 | lr: 0.010000
step:     1990 | loss:   3.3796 | norm:   2.0587 | time:  7423.12 | tok/s: 17852.088459 | lr: 0.010000
step:     2000 | loss:   3.4505 | norm:   2.5892 | time:  7459.92 | tok/s: 17853.046186 | lr: 0.010000
step:     2010 | loss:   3.3272 | norm:   2.1986 | time:  7496.71 | tok/s: 17869.912505 | lr: 0.010000
step:     2020 | loss:   3.3405 | norm:   2.0009 | time:  7533.49 | tok/s: 17857.178574 | lr: 0.010000
step:     2030 | loss:   3.2344 | norm:   1.8422 | time:  7570.28 | tok/s: 17849.239076 | lr: 0.010000
step:     2040 | loss:   3.1729 | norm:   1.7749 | time:  7607.08 | tok/s: 17860.910153 | lr: 0.010000
step:     2050 | loss:   3.3642 | norm:   1.8904 | time:  7643.88 | tok/s: 17864.753592 | lr: 0.010000
step:     2060 | loss:   3.3812 | norm:   1.8135 | time:  7680.67 | tok/s: 17870.003120 | lr: 0.010000
step:     2070 | loss:   3.3831 | norm:   2.2082 | time:  7717.46 | tok/s: 17843.055407 | lr: 0.010000
step:     2080 | loss:   3.2960 | norm:   2.1168 | time:  7754.26 | tok/s: 17850.679883 | lr: 0.010000
step:     2090 | loss:   3.5985 | norm:   2.0464 | time:  7791.06 | tok/s: 17852.590499 | lr: 0.010000
step:     2100 | loss:   3.4399 | norm:   1.9566 | time:  7827.91 | tok/s: 17840.397641 | lr: 0.010000
step:     2110 | loss:   3.5183 | norm:   2.0584 | time:  7864.71 | tok/s: 17863.367395 | lr: 0.010000
step:     2120 | loss:   3.6502 | norm:   2.0116 | time:  7901.49 | tok/s: 17863.655298 | lr: 0.010000
step:     2130 | loss:   3.5051 | norm:   2.6034 | time:  7938.28 | tok/s: 17856.421078 | lr: 0.010000
step:     2140 | loss:   3.3347 | norm:   2.3163 | time:  7975.08 | tok/s: 17864.473781 | lr: 0.010000
step:     2150 | loss:   3.4706 | norm:   1.7889 | time:  8011.87 | tok/s: 17874.079438 | lr: 0.010000
step:     2160 | loss:   3.4533 | norm:   1.8402 | time:  8048.66 | tok/s: 17856.751677 | lr: 0.010000
step:     2170 | loss:   3.5119 | norm:   1.9417 | time:  8085.46 | tok/s: 17851.298934 | lr: 0.010000
step:     2180 | loss:   3.4191 | norm:   2.0583 | time:  8122.26 | tok/s: 17853.791800 | lr: 0.010000
step:     2190 | loss:   3.3659 | norm:   2.1802 | time:  8159.10 | tok/s: 17858.055634 | lr: 0.010000
step:     2200 | loss:   3.4514 | norm:   1.8511 | time:  8195.90 | tok/s: 17844.246157 | lr: 0.010000
step:     2210 | loss:   3.4352 | norm:   2.0206 | time:  8232.75 | tok/s: 17850.170996 | lr: 0.010000
step:     2220 | loss:   3.4374 | norm:   2.0560 | time:  8269.55 | tok/s: 17879.641475 | lr: 0.010000
step:     2230 | loss:   3.4385 | norm:   2.2609 | time:  8306.33 | tok/s: 17857.208736 | lr: 0.010000
step:     2240 | loss:   3.3968 | norm:   1.9773 | time:  8343.32 | tok/s: 17853.440437 | lr: 0.010000
step:     2250 | loss:   3.5320 | norm:   2.1244 | time:  8380.12 | tok/s: 17847.325702 | lr: 0.010000
step:     2260 | loss:   3.4416 | norm:   1.7591 | time:  8416.92 | tok/s: 17860.413448 | lr: 0.010000
step:     2270 | loss:   3.4532 | norm:   2.0202 | time:  8453.71 | tok/s: 17869.022664 | lr: 0.010000
step:     2280 | loss:   3.7105 | norm:   2.3938 | time:  8490.50 | tok/s: 17863.309352 | lr: 0.010000
step:     2290 | loss:   3.4589 | norm:   1.8880 | time:  8527.29 | tok/s: 17859.946941 | lr: 0.010000
step:     2300 | loss:   3.7645 | norm:   2.3656 | time:  8564.09 | tok/s: 17848.484571 | lr: 0.010000
step:     2310 | loss:   3.5335 | norm:   1.8590 | time:  8600.94 | tok/s: 17848.704774 | lr: 0.010000
step:     2320 | loss:   3.3200 | norm:   1.9134 | time:  8640.37 | tok/s: 17847.184330 | lr: 0.010000
step:     2330 | loss:   3.4674 | norm:   1.9195 | time:  8677.18 | tok/s: 17855.188109 | lr: 0.010000
