W0417 09:19:02.263000 12996 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  10.8783 | norm:   1.8307 | time:    15.40 | tok/s:   1579.4 | lr: 0.000100
step:     1760 | loss:   3.4092 | norm:   1.5249 | time:  4650.86 | tok/s:  25080.6 | lr: 0.010000
step:     1770 | loss:   3.2637 | norm:   1.3942 | time:  4676.98 | tok/s:  25106.7 | lr: 0.010000
step:     1780 | loss:   3.3477 | norm:   1.3452 | time:  4703.09 | tok/s:  25118.6 | lr: 0.010000
step:     1790 | loss:   3.3720 | norm:   1.5486 | time:  4729.22 | tok/s:  25112.1 | lr: 0.010000
step:     1800 | loss:   3.4631 | norm:   1.3008 | time:  4755.32 | tok/s:  25113.7 | lr: 0.010000
step:     1810 | loss:   3.4452 | norm:   1.6562 | time:  4781.43 | tok/s:  25133.3 | lr: 0.010000
step:     1820 | loss:   3.4299 | norm:   1.5468 | time:  4807.54 | tok/s:  25128.8 | lr: 0.010000
step:     1830 | loss:   3.4512 | norm:   1.5565 | time:  4833.66 | tok/s:  25110.9 | lr: 0.010000
step:     1840 | loss:   3.5456 | norm:   1.6133 | time:  4859.77 | tok/s:  25106.0 | lr: 0.010000
step:     1850 | loss:   3.3447 | norm:   1.4768 | time:  4888.51 | tok/s:  25152.6 | lr: 0.010000
step:     1860 | loss:   3.4610 | norm:   1.5410 | time:  4914.58 | tok/s:  25145.6 | lr: 0.010000
step:     1870 | loss:   3.4403 | norm:   1.4790 | time:  4940.64 | tok/s:  25161.3 | lr: 0.010000
step:     1880 | loss:   3.3864 | norm:   1.5386 | time:  4966.71 | tok/s:  25167.8 | lr: 0.010000
step:     1890 | loss:   3.3196 | norm:   2.0383 | time:  4992.84 | tok/s:  25203.7 | lr: 0.010000
step:     1900 | loss:   3.3685 | norm:   1.6719 | time:  5019.05 | tok/s:  25160.1 | lr: 0.010000
step:     1910 | loss:   3.3708 | norm:   1.3126 | time:  5045.24 | tok/s:  25157.1 | lr: 0.010000
step:     1920 | loss:   3.4896 | norm:   1.5012 | time:  5071.30 | tok/s:  25156.6 | lr: 0.010000
step:     1930 | loss:   3.3571 | norm:   1.2436 | time:  5097.46 | tok/s:  25182.2 | lr: 0.010000
step:     1940 | loss:   3.3554 | norm:   1.4597 | time:  5123.49 | tok/s:  25151.1 | lr: 0.010000
step:     1950 | loss:   3.3015 | norm:   1.2695 | time:  5149.57 | tok/s:  25177.9 | lr: 0.010000
step:     1960 | loss:   3.4842 | norm:   1.3666 | time:  5175.64 | tok/s:  25157.8 | lr: 0.010000
